,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'health'}),frozenset({'adulthood'}),0.061068702290076333,0.015267175572519083,0.015267175572519083,0.25,16.375,0.014334828972670589,1.3129770992366412
1,frozenset({'adulthood'}),frozenset({'health'}),0.015267175572519083,0.061068702290076333,0.015267175572519083,1.0,16.375,0.014334828972670589,inf
2,frozenset({'healthhealth'}),frozenset({'adulthood'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
3,frozenset({'adulthood'}),frozenset({'healthhealth'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
4,frozenset({'assess'}),frozenset({'practic'}),0.030534351145038167,0.15267175572519084,0.015267175572519083,0.5,3.275,0.010605442573276615,1.6946564885496183
5,frozenset({'practic'}),frozenset({'assess'}),0.15267175572519084,0.030534351145038167,0.015267175572519083,0.09999999999999999,3.275,0.010605442573276615,1.077184054283291
6,frozenset({'chemic'}),frozenset({'chemist'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
7,frozenset({'chemist'}),frozenset({'chemic'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
8,frozenset({'program'}),frozenset({'comput'}),0.015267175572519083,0.030534351145038167,0.015267175572519083,1.0,32.75,0.014801002272594836,inf
9,frozenset({'comput'}),frozenset({'program'}),0.030534351145038167,0.015267175572519083,0.015267175572519083,0.5,32.75,0.014801002272594836,1.9694656488549618
10,frozenset({'programm'}),frozenset({'comput'}),0.015267175572519083,0.030534351145038167,0.015267175572519083,1.0,32.75,0.014801002272594836,inf
11,frozenset({'comput'}),frozenset({'programm'}),0.030534351145038167,0.015267175572519083,0.015267175572519083,0.5,32.75,0.014801002272594836,1.9694656488549618
12,frozenset({'develop'}),frozenset({'concept'}),0.11450381679389313,0.015267175572519083,0.015267175572519083,0.13333333333333333,8.733333333333334,0.013519025697803158,1.1362301820317087
13,frozenset({'concept'}),frozenset({'develop'}),0.015267175572519083,0.11450381679389313,0.015267175572519083,1.0,8.733333333333334,0.013519025697803158,inf
14,frozenset({'conceptu'}),frozenset({'research'}),0.03816793893129771,0.09923664122137404,0.015267175572519083,0.39999999999999997,4.030769230769231,0.011479517510634578,1.501272264631043
15,frozenset({'research'}),frozenset({'conceptu'}),0.09923664122137404,0.03816793893129771,0.015267175572519083,0.15384615384615385,4.030769230769231,0.011479517510634578,1.1367106176266482
16,frozenset({'curriculum'}),frozenset({'student'}),0.022900763358778626,0.12213740458015267,0.022900763358778626,1.0,8.1875,0.020103723559233146,inf
17,frozenset({'student'}),frozenset({'curriculum'}),0.12213740458015267,0.022900763358778626,0.022900763358778626,0.1875,8.1875,0.020103723559233146,1.2025836758661186
18,frozenset({'develop'}),frozenset({'practic'}),0.11450381679389313,0.15267175572519084,0.022900763358778626,0.2,1.31,0.00541926461161937,1.0591603053435112
19,frozenset({'practic'}),frozenset({'develop'}),0.15267175572519084,0.11450381679389313,0.022900763358778626,0.15,1.31,0.00541926461161937,1.0417602155365964
20,frozenset({'develop'}),frozenset({'research'}),0.11450381679389313,0.09923664122137404,0.03816793893129771,0.33333333333333337,3.3589743589743595,0.026804964745644193,1.3511450381679388
21,frozenset({'research'}),frozenset({'develop'}),0.09923664122137404,0.11450381679389313,0.03816793893129771,0.38461538461538464,3.3589743589743595,0.026804964745644193,1.4389312977099236
22,frozenset({'develop'}),frozenset({'student'}),0.11450381679389313,0.12213740458015267,0.030534351145038167,0.26666666666666666,2.1833333333333336,0.016549152147310762,1.1970853573907008
23,frozenset({'student'}),frozenset({'develop'}),0.12213740458015267,0.11450381679389313,0.030534351145038167,0.25,2.1833333333333336,0.016549152147310762,1.1806615776081426
24,frozenset({'practic'}),frozenset({'disciplinespecif'}),0.15267175572519084,0.015267175572519083,0.015267175572519083,0.09999999999999999,6.55,0.01293630907289785,1.094147582697201
25,frozenset({'disciplinespecif'}),frozenset({'practic'}),0.015267175572519083,0.15267175572519084,0.015267175572519083,1.0,6.55,0.01293630907289785,inf
26,frozenset({'environment'}),frozenset({'ecosystem'}),0.030534351145038167,0.015267175572519083,0.015267175572519083,0.5,32.75,0.014801002272594836,1.9694656488549618
27,frozenset({'ecosystem'}),frozenset({'environment'}),0.015267175572519083,0.030534351145038167,0.015267175572519083,1.0,32.75,0.014801002272594836,inf
28,frozenset({'entrepreneurship'}),frozenset({'entrepreneuri'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
29,frozenset({'entrepreneuri'}),frozenset({'entrepreneurship'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
30,frozenset({'research'}),frozenset({'fieldwork'}),0.09923664122137404,0.022900763358778626,0.015267175572519083,0.15384615384615385,6.717948717948718,0.01299458073538838,1.1547536433032617
31,frozenset({'fieldwork'}),frozenset({'research'}),0.022900763358778626,0.09923664122137404,0.015267175572519083,0.6666666666666666,6.717948717948718,0.01299458073538838,2.7022900763358773
32,frozenset({'health'}),frozenset({'healthhealth'}),0.061068702290076333,0.015267175572519083,0.015267175572519083,0.25,16.375,0.014334828972670589,1.3129770992366412
33,frozenset({'healthhealth'}),frozenset({'health'}),0.015267175572519083,0.061068702290076333,0.015267175572519083,1.0,16.375,0.014334828972670589,inf
34,frozenset({'health'}),frozenset({'healthi'}),0.061068702290076333,0.015267175572519083,0.015267175572519083,0.25,16.375,0.014334828972670589,1.3129770992366412
35,frozenset({'healthi'}),frozenset({'health'}),0.015267175572519083,0.061068702290076333,0.015267175572519083,1.0,16.375,0.014334828972670589,inf
36,frozenset({'practic'}),frozenset({'health'}),0.15267175572519084,0.061068702290076333,0.022900763358778626,0.15,2.45625,0.01357729736029369,1.104625056129322
37,frozenset({'health'}),frozenset({'practic'}),0.061068702290076333,0.15267175572519084,0.022900763358778626,0.375,2.45625,0.01357729736029369,1.3557251908396946
38,frozenset({'health'}),frozenset({'student'}),0.061068702290076333,0.12213740458015267,0.015267175572519083,0.25,2.046875,0.007808402773731135,1.1704834605597965
39,frozenset({'student'}),frozenset({'health'}),0.12213740458015267,0.061068702290076333,0.015267175572519083,0.125,2.046875,0.007808402773731135,1.0730643402399127
40,frozenset({'linguist'}),frozenset({'languag'}),0.015267175572519083,0.030534351145038167,0.015267175572519083,1.0,32.75,0.014801002272594836,inf
41,frozenset({'languag'}),frozenset({'linguist'}),0.030534351145038167,0.015267175572519083,0.015267175572519083,0.5,32.75,0.014801002272594836,1.9694656488549618
42,frozenset({'vocabulari'}),frozenset({'languag'}),0.015267175572519083,0.030534351145038167,0.015267175572519083,1.0,32.75,0.014801002272594836,inf
43,frozenset({'languag'}),frozenset({'vocabulari'}),0.030534351145038167,0.015267175572519083,0.015267175572519083,0.5,32.75,0.014801002272594836,1.9694656488549618
44,frozenset({'practic'}),frozenset({'perform'}),0.15267175572519084,0.015267175572519083,0.015267175572519083,0.09999999999999999,6.55,0.01293630907289785,1.094147582697201
45,frozenset({'perform'}),frozenset({'practic'}),0.015267175572519083,0.15267175572519084,0.015267175572519083,1.0,6.55,0.01293630907289785,inf
46,frozenset({'practic'}),frozenset({'profession'}),0.15267175572519084,0.061068702290076333,0.015267175572519083,0.09999999999999999,1.6375,0.005943709574034147,1.0432569974554706
47,frozenset({'profession'}),frozenset({'practic'}),0.061068702290076333,0.15267175572519084,0.015267175572519083,0.25,1.6375,0.005943709574034147,1.129770992366412
48,frozenset({'practic'}),frozenset({'research'}),0.15267175572519084,0.09923664122137404,0.030534351145038167,0.19999999999999998,2.0153846153846153,0.015383718897500145,1.1259541984732824
49,frozenset({'research'}),frozenset({'practic'}),0.09923664122137404,0.15267175572519084,0.030534351145038167,0.3076923076923077,2.0153846153846153,0.015383718897500145,1.2239185750636132
50,frozenset({'practic'}),frozenset({'student'}),0.15267175572519084,0.12213740458015267,0.05343511450381679,0.35,2.865625,0.03478818250684692,1.3505578391074573
51,frozenset({'student'}),frozenset({'practic'}),0.12213740458015267,0.15267175572519084,0.05343511450381679,0.4375,2.865625,0.03478818250684692,1.5063613231552162
52,frozenset({'profession'}),frozenset({'research'}),0.061068702290076333,0.09923664122137404,0.015267175572519083,0.25,2.519230769230769,0.009206922673503874,1.2010178117048345
53,frozenset({'research'}),frozenset({'profession'}),0.09923664122137404,0.061068702290076333,0.015267175572519083,0.15384615384615385,2.5192307692307696,0.009206922673503874,1.109646079111728
54,frozenset({'profession'}),frozenset({'social'}),0.061068702290076333,0.022900763358778626,0.015267175572519083,0.25,10.916666666666666,0.013868655672746344,1.302798982188295
55,frozenset({'social'}),frozenset({'profession'}),0.022900763358778626,0.061068702290076333,0.015267175572519083,0.6666666666666666,10.916666666666666,0.013868655672746344,2.8167938931297707
56,frozenset({'technolog'}),frozenset({'profession'}),0.04580152671755725,0.061068702290076333,0.015267175572519083,0.3333333333333333,5.458333333333333,0.012470135772973602,1.4083969465648853
57,frozenset({'profession'}),frozenset({'technolog'}),0.061068702290076333,0.04580152671755725,0.015267175572519083,0.25,5.458333333333333,0.012470135772973602,1.272264631043257
58,frozenset({'programm'}),frozenset({'program'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
59,frozenset({'program'}),frozenset({'programm'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
60,frozenset({'social'}),frozenset({'research'}),0.022900763358778626,0.09923664122137404,0.015267175572519083,0.6666666666666666,6.717948717948718,0.01299458073538838,2.7022900763358773
61,frozenset({'research'}),frozenset({'social'}),0.09923664122137404,0.022900763358778626,0.015267175572519083,0.15384615384615385,6.717948717948718,0.01299458073538838,1.1547536433032617
62,frozenset({'research'}),frozenset({'student'}),0.09923664122137404,0.12213740458015267,0.022900763358778626,0.23076923076923078,1.889423076923077,0.010780257560748208,1.1412213740458017
63,frozenset({'student'}),frozenset({'research'}),0.12213740458015267,0.09923664122137404,0.022900763358778626,0.1875,1.8894230769230769,0.010780257560748208,1.108631826189078
64,frozenset({'student'}),frozenset({'teach'}),0.12213740458015267,0.015267175572519083,0.015267175572519083,0.125,8.1875,0.013402482372822096,1.1254089422028353
65,frozenset({'teach'}),frozenset({'student'}),0.015267175572519083,0.12213740458015267,0.015267175572519083,1.0,8.1875,0.013402482372822096,inf
66,frozenset({'technolog'}),frozenset({'student'}),0.04580152671755725,0.12213740458015267,0.015267175572519083,0.3333333333333333,2.7291666666666665,0.009673095973428122,1.316793893129771
67,frozenset({'student'}),frozenset({'technolog'}),0.12213740458015267,0.04580152671755725,0.015267175572519083,0.125,2.7291666666666665,0.009673095973428122,1.0905125408942202
68,"frozenset({'health', 'healthhealth'})",frozenset({'adulthood'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
69,"frozenset({'health', 'adulthood'})",frozenset({'healthhealth'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
70,"frozenset({'healthhealth', 'adulthood'})",frozenset({'health'}),0.015267175572519083,0.061068702290076333,0.015267175572519083,1.0,16.375,0.014334828972670589,inf
71,frozenset({'health'}),"frozenset({'healthhealth', 'adulthood'})",0.061068702290076333,0.015267175572519083,0.015267175572519083,0.25,16.375,0.014334828972670589,1.3129770992366412
72,frozenset({'healthhealth'}),"frozenset({'health', 'adulthood'})",0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
73,frozenset({'adulthood'}),"frozenset({'health', 'healthhealth'})",0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
74,"frozenset({'programm', 'program'})",frozenset({'comput'}),0.015267175572519083,0.030534351145038167,0.015267175572519083,1.0,32.75,0.014801002272594836,inf
75,"frozenset({'programm', 'comput'})",frozenset({'program'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
76,"frozenset({'program', 'comput'})",frozenset({'programm'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
77,frozenset({'programm'}),"frozenset({'program', 'comput'})",0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
78,frozenset({'program'}),"frozenset({'programm', 'comput'})",0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
79,frozenset({'comput'}),"frozenset({'programm', 'program'})",0.030534351145038167,0.015267175572519083,0.015267175572519083,0.5,32.75,0.014801002272594836,1.9694656488549618
80,"frozenset({'develop', 'practic'})",frozenset({'student'}),0.022900763358778626,0.12213740458015267,0.015267175572519083,0.6666666666666666,5.458333333333333,0.012470135772973602,2.633587786259542
81,"frozenset({'develop', 'student'})",frozenset({'practic'}),0.030534351145038167,0.15267175572519084,0.015267175572519083,0.5,3.275,0.010605442573276615,1.6946564885496183
82,"frozenset({'practic', 'student'})",frozenset({'develop'}),0.05343511450381679,0.11450381679389313,0.015267175572519083,0.2857142857142857,2.4952380952380953,0.009148651011013344,1.2396946564885496
83,frozenset({'develop'}),"frozenset({'practic', 'student'})",0.11450381679389313,0.05343511450381679,0.015267175572519083,0.13333333333333333,2.4952380952380953,0.009148651011013344,1.092190252495596
84,frozenset({'practic'}),"frozenset({'develop', 'student'})",0.15267175572519084,0.030534351145038167,0.015267175572519083,0.09999999999999999,3.275,0.010605442573276615,1.077184054283291
85,frozenset({'student'}),"frozenset({'develop', 'practic'})",0.12213740458015267,0.022900763358778626,0.015267175572519083,0.125,5.458333333333333,0.012470135772973602,1.1166848418756816
86,"frozenset({'practic', 'health'})",frozenset({'student'}),0.022900763358778626,0.12213740458015267,0.015267175572519083,0.6666666666666666,5.458333333333333,0.012470135772973602,2.633587786259542
87,"frozenset({'practic', 'student'})",frozenset({'health'}),0.05343511450381679,0.061068702290076333,0.015267175572519083,0.2857142857142857,4.678571428571429,0.012003962473049357,1.3145038167938932
88,"frozenset({'health', 'student'})",frozenset({'practic'}),0.015267175572519083,0.15267175572519084,0.015267175572519083,1.0,6.55,0.01293630907289785,inf
89,frozenset({'practic'}),"frozenset({'health', 'student'})",0.15267175572519084,0.015267175572519083,0.015267175572519083,0.09999999999999999,6.55,0.01293630907289785,1.094147582697201
90,frozenset({'health'}),"frozenset({'practic', 'student'})",0.061068702290076333,0.05343511450381679,0.015267175572519083,0.25,4.678571428571429,0.012003962473049357,1.262086513994911
91,frozenset({'student'}),"frozenset({'practic', 'health'})",0.12213740458015267,0.022900763358778626,0.015267175572519083,0.125,5.458333333333333,0.012470135772973602,1.1166848418756816
